transaction_id,date,sender_name,sender_phone,receiver_name,amount_kes,transaction_type,status
TXN0102827,06/05/2024,Wachira Mwangi,0763144169,Mulwa Odhiambo,398013.03,refund,Pending
TXN0112071,2024-01-30,Mumo Chebet,731557561,Muthiani Kibet,53412.25,refund,Reversed
TXN0121672,09/10/2023,Kamau Kamau,712665159,Rotich Ndinda,186649.62,SALE,Reversed
TXN0122979,21-Oct-23,Awino Akinyi,+254732680607,Musyoka Mwangi,85293.48,sale,Completed
TXN0116694,29-Aug-23,Jelimo Koech,0127975954,Njoroge Mwangi,130281.66,refund,Completed
TXN0111432,2023-09-09,Mwende Owino,750316690,Auma Mwangi,290583.67,Refund,Pending
TXN0117547,21/04/2023,Syombua Ogola,0743294388,Kamau Mwangi,29810.53,sale,Reversed
TXN0108965,13-Jan-24,Owino Wambui,729642425,Kibet Gitau,352234.6,Sale,Completed
TXN0105231,12/07/2023,Gitau Owino,+254770717719,Mutua Owino,,TRANSFER,Pending
TXN0100055,29-Feb-24,Wairimu Kibet,788527940,Njeri Njoroge,97810.49,Refund,Pending
TXN0115676,2023-01-24,Ogola Musyoka,785295664,Sang Odhiambo,426747.93,Transfer,Reversed
TXN0125130,20-Jul-23,Wanjiku Gitau,0794742368,Otieno Gitau,187761.98,TRANSFER,Completed
TXN0110949,2024-03-31,Kibet Wambui,0110893463,Mwende Chebet,350007.29,refund,Completed
TXN0100494,04/02/2023,Chebet Kibet,0120745888,Kiprotich Ogola,442611.42,TRANSFER,Failed
TXN0124259,2023-05-19,Mumo Koech,0145273240,Mwende Njoroge,444754.18,SALE,Failed
TXN0115865,5-Feb-24,Ogola Chebet,0196538783,Wambui Wambui,163136.37,Refund,Pending
TXN0122599,25-Jan-23,Koech Akinyi,0127632260,Bett Mutua,93800.37,sale,Completed
TXN0120166,10/04/2023,Ogola Ogola,0166736263,Adhiambo Musyoka,435267.63,sale,Failed
TXN0119170,18/03/2023,Rotich Odhiambo,0749972623,Rotich Musyoka,406673.61,refund,Reversed
TXN0104588,9-Mar-23,Gitau Ogola,+254720322504,Jelimo Kamau,204090.84,SALE,Completed
TXN0123882,9-Jan-23,Odero Mutua,0767539770,Wambui Njoroge,326459.95,sale,Failed
TXN0115017,12-Mar-23,Kimani Odhiambo,0726508381,Bett Odhiambo,129544.62,Sale,Reversed
TXN0105075,2023-07-10,Kariuki Chebet,+254774396661,Musyoka Kariuki,271965.27,refund,Completed
TXN0127299,2023-05-11,Odhiambo Koech,+254753505622,Kioko Kamau,3435.61,Sale,Failed
TXN0117139,2024-03-16,Otieno Kamau,0136954391,Odhiambo Odhiambo,121551.29,TRANSFER,Failed
TXN0120939,17-Mar-23,Chepkoech Mutua,0172711582,Sang Kibet,56547.53,refund,Completed
TXN0105700,06/05/2024,Nzula Ogola,+254799974742,Odhiambo Mwangi,364346.9,SALE,Reversed
TXN0114886,2024-03-13,Kioko Owino,0769124035,Wairimu Kibet,183151.31,Transfer,Completed
TXN0128826,03/11/2023,Adhiambo Njoroge,0134887659,Mwangi Owino,143440.12,refund,Pending
TXN0110516,11/06/2024,Njoroge Odhiambo,790990107,Auma Musyoka,102186.98,Transfer,Completed
TXN0127343,5-Jun-24,Otieno Koech,796221274,Cherono Kariuki,103072.41,Sale,Completed
TXN0118464,14/01/2023,Awino Musyoka,752379097,Bett Odhiambo,276345.64,Sale,Failed
TXN0115663,2023-06-18,Awino Ndinda,+254735675145,Otieno Gitau,265624.17,refund,Reversed
TXN0116300,25/12/2023,Wanjiku Wambui,0720219392,Mwangi Gitau,96689.2,Transfer,Completed
TXN0116312,10/03/2024,Ogola Akinyi,+254754953507,Kibet Wambui,65123.09,SALE,Completed
TXN0113289,29-Sep-23,Owino Owino,790726895,Wachira Ndinda,-2135.88,Transfer,Pending
TXN0111369,2024-04-04,Kipchoge Mwangi,0776480914,Musyoka Ndinda,192955.47,TRANSFER,Reversed
TXN0122294,2024-03-22,Musyoka Akinyi,+254731399461,Auma Kariuki,93412.16,TRANSFER,Pending
TXN0121561,29-Sep-23,Cherono Njoroge,762626392,Chepkoech Mutua,177997.48,Refund,Failed
TXN0101395,06/05/2024,Wairimu Odhiambo,743277233,Jelimo Gitau,187038.26,Refund,Pending
TXN0102347,2023-04-23,Odero Ogola,0798842896,Ndoti Otieno,97570.87,refund,Completed
TXN0126698,2023-11-24,Adhiambo Chebet,0158494997,Kariuki Akinyi,415934.0,refund,Reversed
TXN0104196,23-Jan-23,Kiplangat Chebet,0747325914,Bett Mwangi,38190.75,SALE,Failed
TXN0114791,12/04/2023,Chebet Odhiambo,774729538,Njoroge Kibet,394410.56,sale,Reversed
TXN0105183,2023-02-10,Odhiambo Odhiambo,786845665,Rotich Owino,163827.38,TRANSFER,Pending
TXN0107999,25-May-24,Mulwa Otieno,0160742264,Mwangi Owino,293175.25,refund,Failed
TXN0119769,01/10/2023,Otieno Otieno,711882047,Kamau Kibet,318873.11,Refund,Completed
